BIGGEST	SMALLEST	RANDOM	SIMILARITY
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
1	1	1	1	
1	1	1	1	
1	1	1	1	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
