BIGGEST	SMALLEST	RANDOM	SIMILARITY
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.40	0.40	0.40	0.40	
0.40	0.40	0.40	0.40	
0.40	0.40	0.40	0.40	
0.33	0.33	0.33	0.33	
0.33	0.33	0.33	0.33	
0.33	0.33	0.33	0.33	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.33	0.33	0.33	0.33	
0.33	0.33	0.33	0.33	
0.33	0.33	0.33	0.33	
0.33	0.33	0.33	0.33	
0.33	0.33	0.33	0.33	
0.33	0.33	0.33	0.33	
0.40	0.40	0.40	0.40	
0.40	0.40	0.40	0.40	
0.40	0.40	0.40	0.40	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.29	0.29	0.29	0.29	
0.33	0.33	0.33	0.33	
0.33	0.33	0.33	0.33	
0.33	0.33	0.33	0.33	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
