BIGGEST	SMALLEST	RANDOM	SIMILARITY
1066532	73631	55335	104422	
72738	56227	117809	37485	
41054	1961704	83894	85233	
206612	199472	171806	121379	
1299027	1153104	52211	74969	
39270	202597	181623	177161	
220893	206613	184300	157526	
160203	159310	60243	78540	
56227	494889	482840	474808	
116470	36146	47749	35253	
53103	39716	33914	32576	
26774	109777	111115	244990	
37931	61136	26328	33468	
24544	24543	33468	30791	
30345	124503	56227	55335	
47748	23205	22759	43286	
29006	25436	105761	27221	
27221	130750	58012	1628358	
39716	45071	33915	30345	
29898	28113	28114	24543	
24097	74969	68722	71400	
54889	37931	47748	37932	
33915	37485	30791	31237	
26775	89249	84787	78986	
108884	117810	121379	113347	
112900	116025	53996	75416	
53104	281582	241866	230710	
68722	55781	59798	53996	
57119	63813	39269	58013	
53550	135659	103976	99513	
63367	51764	51764	48641	
76308	46856	49087	40608	
34361	100406	100405	93266	
49534	39270	39716	44178	
41055	40162	33468	35700	
29452	95051	92374	72739	
28114	26329	20974	20081	
19189	19189	36592	26775	
36592	36592	33469	33915	
18742	16511	15173	16511	
16511	16511	24098	22312	
19189	43286	2165194	41948	
79879	19188	46410	32130	
11156	11602	18297	21420	
20081	76754	38824	37039	
23205	20528	18296	19189	
17850	12941	26775	12942	
18296	46410	28114	35253	
53550	43732	178499	41947	
37485	42393	50872	27222	
26774	104868	91034	92374	
46856	39270	42840	43286	
35700	36146	26329	27221	
25437	77647	76755	73185	
41947	29453	29452	30791	
27221	26775	24990	22758	
21866	82556	79879	72292	
27222	21419	19188	20082	
17403	17404	31238	17404	
19635	39270	62921	33915	
