G	GE	GRE	H
8795096	923733	1353023	1120974	
1320001	1129007	2295498	1286532	
3022436	2438744	6722721	6639719	
25014414	5454039	6376433	4261219	
2290590	2147344	9447956	8102965	
6512539	5666899	3694931	3710996	
155295	169127	408317	238743	
303894	566735	349412	468114	
272658	307019	714442	515862	
545315	493550	778702	612252	
269087	202150	332901	439554	
471684	361907	359229	346734	
305680	190994	238297	190994	
443570	352982	369047	346288	
177161	323084	612251	595294	
759513	427952	497566	543976	
3383004	3277689	7528199	7445642	
4914972	6488442	6171159	3575782	
522110	531035	1238784	1373996	
1498946	1123652	1244139	1357931	
612251	536836	1087952	1171846	
1225842	1249940	1770264	1779636	
999149	339595	1048682	1015660	
855903	766208	1348115	1139716	
382880	373509	734078	756390	
781826	605558	791197	783164	
228478	145923	257485	309696	
234726	151278	215538	199919	
157525	146816	287830	331116	
331116	358337	519878	486856	
153063	152170	390466	264179	
361461	380203	622516	440892	
416796	398945	917485	943814	
1240123	1086614	1128560	1148195	
264624	183408	507383	410102	
370832	370386	723367	492658	
249899	268195	507830	471237	
546654	614929	709087	802353	
157525	141907	316389	250791	
273550	277120	310142	311481	
