G	GE	GRE	H
Media: 4.0 Max: 4 Min: 4	Media: 4.0 Max: 4 Min: 4	Media: 4.0 Max: 4 Min: 4	Media: 4.0 Max: 4 Min: 4	
Media: 4.0 Max: 4 Min: 4	Media: 4.0 Max: 4 Min: 4	Media: 4.0 Max: 4 Min: 4	Media: 4.0 Max: 4 Min: 4	
Media: 6.857142857142857 Max: 8 Min: 4	Media: 6.857142857142857 Max: 8 Min: 4	Media: 6.857142857142857 Max: 8 Min: 4	Media: 6.857142857142857 Max: 8 Min: 4	
Media: 6.857142857142857 Max: 8 Min: 4	Media: 6.857142857142857 Max: 8 Min: 4	Media: 6.857142857142857 Max: 8 Min: 4	Media: 6.857142857142857 Max: 8 Min: 4	
Media: 10.4 Max: 14 Min: 6	Media: 10.4 Max: 14 Min: 6	Media: 10.4 Max: 14 Min: 6	Media: 10.4 Max: 14 Min: 6	
Media: 10.4 Max: 14 Min: 6	Media: 10.4 Max: 14 Min: 6	Media: 10.4 Max: 14 Min: 6	Media: 10.4 Max: 14 Min: 6	
Media: 4.0 Max: 4 Min: 4	Media: 4.0 Max: 4 Min: 4	Media: 4.0 Max: 4 Min: 4	Media: 4.0 Max: 4 Min: 4	
Media: 4.0 Max: 4 Min: 4	Media: 4.0 Max: 4 Min: 4	Media: 4.0 Max: 4 Min: 4	Media: 4.0 Max: 4 Min: 4	
Media: 8.0 Max: 8 Min: 8	Media: 8.0 Max: 8 Min: 8	Media: 8.0 Max: 8 Min: 8	Media: 8.0 Max: 8 Min: 8	
Media: 8.0 Max: 8 Min: 8	Media: 8.0 Max: 8 Min: 8	Media: 8.0 Max: 8 Min: 8	Media: 8.0 Max: 8 Min: 8	
Media: 8.0 Max: 8 Min: 8	Media: 8.0 Max: 8 Min: 8	Media: 8.0 Max: 8 Min: 8	Media: 8.0 Max: 8 Min: 8	
Media: 8.0 Max: 8 Min: 8	Media: 8.0 Max: 8 Min: 8	Media: 8.0 Max: 8 Min: 8	Media: 8.0 Max: 8 Min: 8	
