G	GE	GRE	H
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.30	0.30	0.50	0.50	
0.50	0.50	0.50	0.50	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.50	0.50	0.50	0.50	
0.50	0.50	0.25	0.50	
0.50	0.50	0.50	0.50	
0.50	0.50	0.50	0.50	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.30	0.30	0.50	0.50	
0.50	0.50	0.50	0.50	
0.14	0.14	0.14	0.14	
0.14	0.14	0.14	0.14	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.57	0.57	0.57	0.57	
0.57	0.57	0.57	0.57	
0.50	0.50	0.50	0.50	
0.50	0.50	0.50	0.50	
0.25	0.25	0.25	0.25	
0.25	0.25	0.25	0.25	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.14	0.14	0.14	0.14	
0.14	0.14	0.14	0.14	
0.57	0.57	0.57	0.57	
0.57	0.57	0.57	0.57	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.50	0.50	0.50	0.50	
0.50	0.50	0.50	0.50	
