BIGGEST	SMALLEST	RANDOM	SIMILARITY
26081467	6495524	1188724	94481581	
317708	92840	146958	477262	
207606	2254749	57850	1533024	
39189	42920	28458	331238	
3548442	1645924	507120	29226359	
60649	43388	37789	228600	
190811	146491	128296	1898318	
36390	27992	26592	341967	
2977874	801036	352232	29828186	
108702	118499	75112	584565	
323774	263591	73246	1959434	
30791	18195	22860	295315	
2779130	1296026	222069	19444117	
50385	33590	27059	210406	
89107	305579	47120	1129007	
33124	18662	48985	222069	
1563349	1345012	357829	30127232	
56451	49452	68113	407282	
135760	152555	52252	2018683	
76044	31258	27992	378357	
