BIGGEST	SMALLEST	RANDOM	SIMILARITY
0.71	0.28	0.42	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.28	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.85	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.85	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.28	0.57	
0.71	0.28	0.28	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.85	0.57	
0.71	0.28	0.14	0.57	
0.71	0.28	0.28	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.85	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.28	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.14	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.85	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.28	0.57	
0.71	0.28	0.28	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.0	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.14	0.57	
0.71	0.28	0.85	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.14	0.57	
0.71	0.28	0.14	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.28	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.85	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.71	0.57	
0.71	0.28	0.85	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.28	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.57	0.57	
0.71	0.28	0.28	0.57	
0.71	0.28	0.42	0.57	
0.71	0.28	0.85	0.57	
0.71	0.28	0.85	0.57	
0.71	0.28	0.57	0.57	
0.2	0.8	0.8	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.8	0.6	
0.2	0.8	0.8	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.8	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.2	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.8	0.6	
0.2	0.8	0.2	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.2	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.8	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.8	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.8	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.2	0.6	
0.2	0.8	1.0	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.0	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	1.0	0.6	
0.2	0.8	0.8	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.8	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.6	0.6	
