BIGGEST	SMALLEST	RANDOM	SIMILARITY
0.45	0.11	0.39	0.37	
0.45	0.11	0.38	0.37	
0.45	0.11	0.43	0.37	
0.45	0.11	0.41	0.36	
0.45	0.11	0.40	0.37	
0.45	0.11	0.42	0.38	
0.45	0.11	0.40	0.36	
0.45	0.11	0.35	0.36	
0.45	0.11	0.35	0.36	
0.45	0.11	0.40	0.38	
0.45	0.11	0.43	0.37	
0.45	0.11	0.39	0.36	
0.45	0.11	0.41	0.37	
0.45	0.11	0.42	0.36	
0.45	0.11	0.39	0.37	
0.45	0.11	0.34	0.36	
0.45	0.11	0.48	0.36	
0.45	0.11	0.41	0.37	
0.45	0.11	0.41	0.37	
0.45	0.11	0.41	0.36	
0.45	0.11	0.44	0.37	
0.45	0.11	0.46	0.36	
0.45	0.11	0.32	0.36	
0.45	0.11	0.42	0.36	
0.45	0.11	0.36	0.36	
0.45	0.11	0.40	0.37	
0.45	0.11	0.32	0.37	
0.45	0.11	0.39	0.36	
0.45	0.11	0.36	0.37	
0.45	0.11	0.40	0.37	
0.45	0.11	0.42	0.37	
0.45	0.11	0.42	0.36	
0.45	0.11	0.42	0.36	
0.45	0.11	0.40	0.36	
0.45	0.11	0.41	0.36	
0.45	0.11	0.41	0.36	
0.45	0.11	0.39	0.37	
0.45	0.11	0.41	0.36	
0.45	0.11	0.33	0.37	
0.45	0.11	0.33	0.37	
0.45	0.11	0.46	0.36	
0.45	0.11	0.30	0.36	
0.45	0.11	0.39	0.36	
0.45	0.11	0.37	0.36	
0.45	0.11	0.36	0.36	
0.45	0.11	0.43	0.36	
0.45	0.11	0.45	0.36	
0.45	0.11	0.36	0.36	
0.45	0.11	0.41	0.36	
0.45	0.11	0.39	0.37	
0.45	0.11	0.39	0.39	
0.45	0.11	0.44	0.37	
0.45	0.11	0.41	0.36	
0.45	0.11	0.48	0.36	
0.45	0.11	0.34	0.36	
0.45	0.11	0.43	0.36	
0.45	0.11	0.42	0.36	
0.45	0.11	0.44	0.36	
0.45	0.11	0.36	0.37	
0.45	0.11	0.41	0.37	
0.45	0.11	0.41	0.36	
0.45	0.11	0.39	0.36	
0.45	0.11	0.40	0.36	
0.45	0.11	0.39	0.36	
0.45	0.11	0.41	0.37	
0.45	0.11	0.41	0.37	
0.45	0.11	0.37	0.36	
0.45	0.11	0.35	0.37	
0.45	0.11	0.38	0.37	
0.45	0.11	0.40	0.37	
0.45	0.11	0.43	0.36	
0.45	0.11	0.37	0.37	
0.45	0.11	0.45	0.37	
0.45	0.11	0.40	0.37	
0.45	0.11	0.36	0.36	
0.45	0.11	0.28	0.37	
0.45	0.11	0.40	0.36	
0.45	0.11	0.36	0.37	
0.45	0.11	0.38	0.37	
0.45	0.11	0.38	0.37	
0.45	0.11	0.37	0.36	
0.45	0.11	0.47	0.36	
0.45	0.11	0.34	0.36	
0.45	0.11	0.37	0.37	
0.45	0.11	0.50	0.36	
0.45	0.11	0.42	0.37	
0.45	0.11	0.32	0.36	
0.45	0.11	0.38	0.36	
0.45	0.11	0.32	0.37	
0.45	0.11	0.39	0.37	
0.45	0.11	0.37	0.37	
0.45	0.11	0.41	0.36	
0.45	0.11	0.35	0.36	
0.45	0.11	0.43	0.36	
0.45	0.11	0.34	0.37	
0.45	0.11	0.38	0.36	
0.45	0.11	0.43	0.36	
0.45	0.11	0.39	0.37	
0.45	0.11	0.43	0.36	
0.45	0.11	0.39	0.36	
0.50	0.15	0.36	0.37	
0.50	0.15	0.28	0.37	
0.50	0.15	0.26	0.37	
0.50	0.15	0.28	0.37	
0.50	0.15	0.28	0.37	
0.50	0.15	0.24	0.37	
0.50	0.15	0.28	0.37	
0.50	0.15	0.36	0.37	
0.50	0.15	0.22	0.37	
0.50	0.15	0.28	0.37	
0.50	0.15	0.28	0.46	
0.50	0.15	0.36	0.37	
0.50	0.15	0.32	0.37	
0.50	0.15	0.19	0.37	
0.50	0.15	0.26	0.37	
0.50	0.15	0.29	0.37	
0.50	0.15	0.21	0.37	
0.50	0.15	0.26	0.37	
0.50	0.15	0.41	0.37	
0.50	0.15	0.38	0.37	
0.50	0.15	0.17	0.37	
0.50	0.15	0.24	0.37	
0.50	0.15	0.36	0.37	
0.50	0.15	0.33	0.46	
0.50	0.15	0.29	0.37	
0.50	0.15	0.23	0.37	
0.50	0.15	0.27	0.37	
0.50	0.15	0.28	0.37	
0.50	0.15	0.24	0.37	
0.50	0.15	0.33	0.46	
0.50	0.15	0.27	0.37	
0.50	0.15	0.31	0.37	
0.50	0.15	0.24	0.37	
0.50	0.15	0.27	0.37	
0.50	0.15	0.37	0.37	
0.50	0.15	0.26	0.37	
0.50	0.15	0.31	0.37	
0.50	0.15	0.31	0.37	
0.50	0.15	0.22	0.37	
0.50	0.15	0.37	0.37	
0.50	0.15	0.28	0.37	
0.50	0.15	0.28	0.37	
0.50	0.15	0.29	0.37	
0.50	0.15	0.27	0.37	
0.50	0.15	0.24	0.37	
0.50	0.15	0.35	0.37	
0.50	0.15	0.32	0.37	
0.50	0.15	0.29	0.37	
0.50	0.15	0.35	0.37	
0.50	0.15	0.26	0.37	
0.50	0.15	0.26	0.37	
0.50	0.15	0.28	0.37	
