RANDOM	SIMILARITY
1547020	57905944	
1313287	37169999	
179149	19503834	
149756	18887078	
293915	29943419	
212738	18386023	
312110	20894566	
218803	27122766	
138094	29474088	
166552	18912738	
223469	23348057	
221137	19856065	
161887	18024461	
100304	18151824	
86309	17952615	
94240	17964746	
95639	16179794	
73712	22634730	
66714	17053608	
57383	17351722	
59250	18810567	
82110	16756428	
74645	18379959	
159554	24095908	
159088	21824364	
126897	15605493	
74645	19825741	
83976	23134386	
72312	15018595	
79777	15594296	
129230	16273100	
63915	15276121	
79777	14988271	
124564	17361986	
72312	15014397	
55984	15923668	
74178	21678340	
52718	15486061	
65781	15068049	
59716	17411438	
76977	15430077	
71379	15541578	
58783	26889034	
116167	14737277	
70913	15590564	
77911	15727724	
78377	19978297	
69513	16444785	
52252	15419347	
72312	22774690	
110568	15912937	
59716	15380158	
70447	25059296	
66248	14729346	
69047	15378292	
77911	14446162	
73245	16869795	
73246	15361964	
116633	15021395	
78377	25018242	
157688	19553753	
87708	18538579	
94239	22776555	
116633	16158333	
66248	16018374	
118966	20601583	
68114	15363829	
70447	15126365	
95639	21343370	
52718	15091375	
167952	15827562	
93307	16812411	
70447	16475109	
135761	16312756	
69979	25279032	
72312	14858576	
77444	14790928	
139026	14399975	
60649	22601139	
55984	15734256	
89574	15780909	
62982	16049631	
61115	15189813	
55984	15486994	
84909	17325130	
116633	15728658	
125030	16338415	
110568	15984784	
77911	15814500	
79777	15216405	
62049	23778200	
97505	15259327	
89108	14778799	
135761	14677095	
100304	16197989	
141826	16301092	
98905	17457158	
120832	18241865	
88175	15354965	
76977	19027039	
19595	265923	
28925	276653	
19128	167485	
20994	164219	
24726	183347	
18194	171683	
28458	170751	
17728	174017	
16329	456268	
40122	184747	
17728	171217	
18194	241197	
29391	253794	
29391	190811	
28925	333570	
59249	359230	
22394	327039	
25659	345234	
35456	473063	
21461	276653	
36856	289249	
31258	233266	
23327	165152	
27992	302779	
22394	161420	
27526	172151	
31724	376492	
44321	462800	
28925	488459	
21927	344767	
19595	400285	
46187	504787	
27992	239797	
23327	167952	
22394	314909	
20528	171684	
13996	160487	
21927	266390	
23793	275253	
21460	291116	
24726	297181	
29392	250994	
15396	256593	
13530	172150	
15862	139493	
13529	172617	
23327	174949	
11663	260325	
20061	241197	
29391	394219	
26126	250061	
13996	139493	
22394	252860	
23793	385822	
24726	314909	
18195	318641	
20994	318175	
14462	192212	
17728	196876	
14929	190345	
20994	323307	
20527	340102	
21927	355031	
21460	338703	
19127	261258	
24259	369493	
27059	340569	
22860	322373	
20994	320508	
17728	317242	
17262	317242	
19595	183814	
13530	180081	
13063	267789	
16328	187079	
12596	273388	
20994	183347	
39189	146958	
49918	478662	
43388	390021	
26593	333570	
18195	562637	
21927	328438	
23327	350832	
26593	315842	
21460	330305	
26593	322373	
20061	389087	
34056	327039	
20061	221136	
22860	258925	
21461	274787	
28458	270122	
25659	261258	
26593	260791	
26592	257992	
25193	261257	
18661	260325	
23327	259392	
20527	261258	
38255	1594606	
52251	1019838	
42921	1592274	
41987	1563815	
23793	1576411	
38722	1519028	
41054	1606270	
46653	1625864	
38722	1700509	
40588	1711705	
79310	4480573	
70913	4354609	
75578	1764890	
35922	1575945	
41988	871481	
17728	888743	
36856	860751	
26126	844423	
21460	1666919	
40122	1281097	
41988	1643125	
36856	912070	
23793	1437851	
25659	864950	
35456	1111279	
17262	892942	
41055	920934	
25659	862618	
27525	1508298	
26126	1421523	
24260	1401929	
18661	777709	
39189	816431	
22394	1776554	
41055	1459312	
49452	1482172	
32191	1446249	
28459	1461178	
27992	868216	
25660	910670	
27525	859352	
46187	1010975	
37323	911137	
34990	857952	
28458	1764424	
35457	1538623	
52718	1614667	
34057	859352	
20527	837891	
40589	1739231	
36856	1842801	
46187	1075356	
62982	1128075	
14462	1038033	
25192	1058094	
41521	1111746	
74178	1389332	
18662	1927244	
15395	2239820	
26592	1109880	
19128	854220	
15396	898540	
15396	858885	
22860	808034	
14929	1699576	
29391	2105925	
33591	1455113	
20528	1000711	
19594	901807	
27059	1561949	
25660	1138338	
17728	1583409	
17729	906938	
17728	869149	
16795	1726634	
14462	834159	
11197	842557	
16328	785640	
18661	816431	
12130	796370	
36389	4222580	
19128	1516696	
21460	1537223	
17728	854686	
28925	1197121	
18662	853754	
26126	966654	
10263	1498500	
15396	923733	
25659	882212	
15395	1142537	
26125	1939373	
23327	1514829	
25660	1258237	
23793	1057628	
26125	2540266	
25193	2939151	
20994	1651056	
34990	989514	
18195	933064	
19595	152089	
11663	169817	
7465	150690	
11664	243063	
9797	249128	
7464	239798	
8864	149291	
14929	153956	
9797	157221	
6065	136227	
9330	163752	
9331	147424	
6065	149757	
8397	228601	
24726	315375	
19595	227201	
8864	147424	
13063	232333	
19594	135294	
10730	137627	
13996	143225	
11664	148358	
8398	133428	
4665	138093	
6532	133895	
6064	171217	
14929	264990	
11196	178216	
9331	180081	
10264	178682	
11197	165152	
14462	289717	
8864	271055	
24260	157221	
8398	231867	
14930	154422	
10730	168884	
13996	235599	
30324	211338	
19127	251461	
13996	246796	
13996	213205	
12596	231400	
17262	2106392	
20994	283185	
11197	437140	
17262	281318	
18195	275254	
8397	264057	
27526	297180	
20527	273388	
17728	251460	
13063	250528	
10264	271988	
11197	334970	
18194	182880	
12597	164219	
18195	155355	
13063	279452	
15862	252394	
13063	270122	
10730	212738	
12130	249595	
6531	160021	
27525	248195	
13063	145558	
7465	131095	
6532	311644	
8398	235598	
10264	226268	
9797	185679	
5599	132961	
11664	150223	
6532	131562	
8864	132496	
6065	131562	
4665	132495	
5598	132961	
6065	130162	
9797	133894	
6998	129229	
23793	390487	
13530	409148	
24726	402151	
16329	523916	
10730	409148	
14929	398418	
20061	388155	
11664	395619	
12130	227201	
12596	293449	
14463	289250	
12596	178682	
14462	253327	
13529	155355	
6998	259392	
12596	177748	
13530	168884	
12130	178681	
9331	195477	
