RANDOM	SIMILARITY
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 17.27659574468085 Max: 39 Min: 0	Media: 17.27659574468085 Max: 39 Min: 0	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
Media: 7.631578947368421 Max: 15 Min: 1	Media: 7.631578947368421 Max: 15 Min: 1	
