RANDOM	SIMILARITY
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
47	47	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
18	18	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
7	7	
