RANDOM	SIMILARITY
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.47	0.47	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
0.50	0.50	
