RANDOM	SIMILARITY
0.71	0.57	
0.57	0.57	
0.42	0.57	
0.28	0.57	
0.42	0.57	
0.57	0.57	
0.57	0.57	
0.28	0.57	
0.28	0.57	
0.71	0.57	
0.85	0.57	
0.42	0.57	
0.42	0.57	
0.71	0.57	
0.71	0.57	
0.28	0.57	
0.57	0.57	
0.42	0.57	
0.42	0.57	
0.42	0.57	
0.28	0.57	
0.57	0.57	
0.57	0.57	
0.57	0.57	
0.57	0.57	
0.42	0.57	
0.14	0.57	
0.57	0.57	
0.71	0.57	
0.42	0.57	
0.57	0.57	
0.28	0.57	
0.42	0.57	
0.57	0.57	
0.85	0.57	
0.42	0.57	
0.42	0.57	
0.57	0.57	
0.85	0.57	
0.42	0.57	
0.57	0.57	
0.71	0.57	
0.28	0.57	
0.57	0.57	
0.28	0.57	
0.14	0.57	
0.57	0.57	
0.42	0.57	
0.57	0.57	
0.71	0.57	
0.42	0.57	
0.28	0.57	
0.42	0.57	
0.85	0.57	
0.57	0.57	
0.71	0.57	
0.28	0.57	
0.57	0.57	
0.57	0.57	
0.71	0.57	
0.14	0.57	
0.71	0.57	
0.42	0.57	
0.85	0.57	
0.42	0.57	
0.57	0.57	
0.42	0.57	
0.42	0.57	
0.42	0.57	
0.57	0.57	
0.28	0.57	
0.42	0.57	
0.71	0.57	
0.57	0.57	
0.57	0.57	
0.42	0.57	
0.42	0.57	
0.57	0.57	
0.14	0.57	
0.28	0.57	
0.57	0.57	
0.57	0.57	
0.57	0.57	
0.42	0.57	
0.57	0.57	
0.42	0.57	
0.42	0.57	
0.42	0.57	
0.57	0.57	
0.57	0.57	
0.71	0.57	
0.28	0.57	
0.14	0.57	
0.57	0.57	
0.42	0.57	
0.42	0.57	
0.28	0.57	
0.42	0.57	
0.57	0.57	
0.57	0.57	
0.6	0.6	
0.4	0.6	
0.6	0.6	
0.4	0.6	
0.6	0.6	
0.6	0.6	
0.4	0.6	
0.6	0.6	
0.6	0.6	
0.4	0.6	
0.4	0.6	
0.2	0.6	
0.8	0.6	
0.2	0.6	
0.4	0.6	
0.6	0.6	
0.6	0.6	
0.8	0.6	
0.6	0.6	
0.4	0.6	
0.6	0.6	
0.6	0.6	
0.6	0.6	
0.2	0.6	
0.4	0.6	
0.2	0.6	
0.6	0.6	
0.8	0.6	
0.4	0.6	
0.6	0.6	
0.6	0.6	
0.6	0.6	
0.8	0.6	
0.8	0.6	
0.6	0.6	
0.8	0.6	
0.2	0.6	
0.8	0.6	
1.0	0.6	
0.6	0.6	
0.6	0.6	
0.6	0.6	
0.2	0.6	
0.8	0.6	
0.6	0.6	
1.0	0.6	
0.6	0.6	
1.0	0.6	
0.4	0.6	
0.6	0.6	
0.6	0.6	
0.4	0.6	
0.4	0.6	
0.4	0.6	
0.8	0.6	
0.6	0.6	
0.2	0.6	
0.4	0.6	
0.2	0.6	
0.8	0.6	
0.6	0.6	
0.6	0.6	
0.8	0.6	
0.2	0.6	
0.2	0.6	
0.6	0.6	
0.6	0.6	
0.6	0.6	
0.0	0.6	
0.4	0.6	
0.6	0.6	
0.2	0.6	
0.4	0.6	
0.8	0.6	
0.8	0.6	
1.0	0.6	
0.2	0.6	
0.4	0.6	
0.4	0.6	
0.4	0.6	
0.4	0.6	
0.8	0.6	
0.4	0.6	
0.2	0.6	
0.8	0.6	
0.4	0.6	
0.6	0.6	
0.6	0.6	
0.4	0.6	
1.0	0.6	
0.4	0.6	
0.4	0.6	
1.0	0.6	
0.2	0.6	
0.2	0.6	
0.2	0.6	
0.6	0.6	
0.6	0.6	
0.6	0.6	
0.8	0.6	
0.42	0.42	
0.57	0.42	
0.71	0.42	
0.71	0.42	
0.28	0.42	
0.71	0.42	
0.42	0.42	
0.57	0.42	
0.42	0.42	
0.71	0.42	
0.42	0.42	
0.85	0.42	
0.42	0.42	
0.42	0.42	
0.42	0.42	
0.57	0.57	
0.85	0.42	
0.42	0.42	
0.28	0.42	
0.28	0.42	
0.57	0.42	
0.71	0.42	
0.57	0.42	
1.0	0.42	
0.71	0.42	
0.57	0.42	
0.57	0.42	
0.28	0.42	
0.57	0.42	
0.57	0.42	
0.42	0.42	
0.42	0.42	
0.42	0.42	
